antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'e6b314a2236c162ede1a879f1075430f'}),frozenset({'ad4b5def91ac7c575dbdf65b5be311f4'}),9.121683254616585e-05,9.121683254616585e-05,6.08112216974439e-05,0.6666666666666666,7308.592592592592,6.0802901186904145e-05,2.999726349502361
frozenset({'dbb67791e405873b259e4656bf971246'}),frozenset({'18486698933fbb64af6c0a255f7dd64c'}),0.0006587882350556423,0.00017229846147609105,7.094642531368455e-05,0.10769230769230768,625.0334841628959,7.083291711434591e-05,1.1204965620690355
frozenset({'18486698933fbb64af6c0a255f7dd64c'}),frozenset({'dbb67791e405873b259e4656bf971246'}),0.00017229846147609105,0.0006587882350556423,7.094642531368455e-05,0.4117647058823529,625.0334841628959,7.083291711434591e-05,1.6988800600004055
frozenset({'ad0a798e7941f3a5a2fb8139cb62ad78'}),frozenset({'946344697156947d846d27fe0d503033'}),0.0001216224433948878,0.00015202805424360976,6.08112216974439e-05,0.5,3288.866666666667,6.079273167402222e-05,1.9996959438915127
frozenset({'946344697156947d846d27fe0d503033'}),frozenset({'ad0a798e7941f3a5a2fb8139cb62ad78'}),0.00015202805424360976,0.0001216224433948878,6.08112216974439e-05,0.4,3288.866666666667,6.079273167402222e-05,1.666463962594342
frozenset({'3ce943997ff85cad84ec6770b35d6bcd'}),frozenset({'b7d94dc0640c7025dc8e3b46b52d8239'}),8.108162892992521e-05,0.0001013520361624065,5.067601808120325e-05,0.6249999999999999,6166.624999999999,5.066780029301584e-05,2.6663963945702327
frozenset({'b7d94dc0640c7025dc8e3b46b52d8239'}),frozenset({'3ce943997ff85cad84ec6770b35d6bcd'}),0.0001013520361624065,8.108162892992521e-05,5.067601808120325e-05,0.5,6166.625,5.066780029301584e-05,1.99983783674214
frozenset({'5fc3e6a4b52b0c414458104ed4037f1c'}),frozenset({'5d790355cbeded0cd60e25cbc4c527a2'}),0.00019256886870857237,0.00016216325785985041,6.08112216974439e-05,0.3157894736842105,1947.3552631578946,6.077999410233173e-05,1.4613014537000508
frozenset({'5d790355cbeded0cd60e25cbc4c527a2'}),frozenset({'5fc3e6a4b52b0c414458104ed4037f1c'}),0.00016216325785985041,0.00019256886870857237,6.08112216974439e-05,0.375,1947.3552631578946,6.077999410233173e-05,1.5996918898100663
frozenset({'9ad75bd7267e5c724cb42c71ac56ca72'}),frozenset({'4d0ec1e9b95fb62f9a1fbe21808bf3b1'}),0.0004256785518821073,0.00013175764701112846,6.08112216974439e-05,0.14285714285714285,1084.2417582417581,6.0755135293064814e-05,1.1665129494118203
frozenset({'4d0ec1e9b95fb62f9a1fbe21808bf3b1'}),frozenset({'9ad75bd7267e5c724cb42c71ac56ca72'}),0.00013175764701112846,0.0004256785518821073,6.08112216974439e-05,0.4615384615384615,1084.2417582417581,6.0755135293064814e-05,1.85635231126079
