antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'auto', 'cool_stuff'})",frozenset({'bed_bath_table'}),7.335988262418781e-05,0.09583944665688535,2.0959966464053657e-05,0.2857142857142857,2.9811762868077794,1.392919590653744e-05,1.2658247746803604
"frozenset({'bed_bath_table', 'cool_stuff'})",frozenset({'auto'}),0.00024103961433661705,0.04036889540976735,2.0959966464053657e-05,0.08695652173913043,2.1540475867985007,1.1229463483288106e-05,1.0510245431226357
frozenset({'auto'}),"frozenset({'bed_bath_table', 'cool_stuff'})",0.04036889540976735,0.00024103961433661705,2.0959966464053657e-05,0.0005192107995846313,2.154047586798501,1.1229463483288106e-05,1.00027831568976
frozenset({'bed_bath_table'}),"frozenset({'auto', 'cool_stuff'})",0.09583944665688535,7.335988262418781e-05,2.0959966464053657e-05,0.00021869874248223073,2.9811762868077794,1.392919590653744e-05,1.000145370652237
frozenset({'cool_stuff'}),"frozenset({'auto', 'bed_bath_table'})",0.03788513938377699,0.00015719974848040242,2.0959966464053657e-05,0.0005532503457814661,3.519409866297833,1.5004432081778926e-05,1.0003962698337237
"frozenset({'furniture_decor', 'housewares'})",frozenset({'home_construction'}),0.0006287989939216097,0.005124711800461119,2.0959966464053657e-05,0.03333333333333333,6.504430811179278,1.7737552839785506e-05,1.0291813326202126
"frozenset({'home_construction', 'housewares'})",frozenset({'furniture_decor'}),4.1919932928107315e-05,0.06620205407671348,2.0959966464053657e-05,0.5,7.552635744815577,1.8184780797454894e-05,1.8675958918465732
frozenset({'furniture_decor'}),"frozenset({'home_construction', 'housewares'})",0.06620205407671348,4.1919932928107315e-05,2.0959966464053657e-05,0.00031660598385309483,7.552635744815577,1.8184780797454894e-05,1.0002747730457153
frozenset({'home_construction'}),"frozenset({'furniture_decor', 'housewares'})",0.005124711800461119,0.0006287989939216097,2.0959966464053657e-05,0.00408997955010225,6.504430811179279,1.7737552839785506e-05,1.0034753948500459
frozenset({'construction_tools_safety'}),frozenset({'home_construction'}),0.0017396772165164537,0.005124711800461119,2.0959966464053657e-05,0.012048192771084336,2.350999088378052,1.2044622103578435e-05,1.007007913665387
frozenset({'home_construction'}),frozenset({'construction_tools_safety'}),0.005124711800461119,0.0017396772165164537,2.0959966464053657e-05,0.00408997955010225,2.3509990883780523,1.2044622103578435e-05,1.0023599544992268
"frozenset({'construction_tools_lights', 'bed_bath_table'})",frozenset({'furniture_decor'}),3.1439949696080486e-05,0.06620205407671348,2.0959966464053657e-05,0.6666666666666666,10.070180993087435,1.8878577214104585e-05,2.8013938377698593
"frozenset({'bed_bath_table', 'furniture_decor'})",frozenset({'construction_tools_lights'}),0.0016348773841961854,0.002557115908614546,2.0959966464053657e-05,0.01282051282051282,5.0136612021857925,1.6779395496291458e-05,1.0103966877808839
frozenset({'construction_tools_lights'}),"frozenset({'bed_bath_table', 'furniture_decor'})",0.002557115908614546,0.0016348773841961854,2.0959966464053657e-05,0.00819672131147541,5.0136612021857925,1.6779395496291458e-05,1.0066160740423806
frozenset({'furniture_decor'}),"frozenset({'construction_tools_lights', 'bed_bath_table'})",0.06620205407671348,3.1439949696080486e-05,2.0959966464053657e-05,0.00031660598385309483,10.070180993087437,1.8878577214104585e-05,1.0002852563480236
frozenset({'books_technical'}),frozenset({'music'}),0.0027143156570949485,0.0003982393628170195,2.0959966464053657e-05,0.007722007722007722,19.390367811420443,1.9879019126287906e-05,1.0073807626654878
frozenset({'music'}),frozenset({'books_technical'}),0.0003982393628170195,0.0027143156570949485,2.0959966464053657e-05,0.052631578947368425,19.390367811420447,1.9879019126287906e-05,1.0526904445841776
frozenset({'fashion_bags_accessories'}),frozenset({'music'}),0.01884300985118424,0.0003982393628170195,2.0959966464053657e-05,0.0011123470522803114,2.793161992857561,1.3455938227363225e-05,1.0007149029096074
frozenset({'music'}),frozenset({'fashion_bags_accessories'}),0.0003982393628170195,0.01884300985118424,2.0959966464053657e-05,0.052631578947368425,2.793161992857561,1.3455938227363225e-05,1.03566571182375
frozenset({'fashion_childrens_clothes'}),frozenset({'fashion_bags_accessories'}),8.383986585621463e-05,0.01884300985118424,2.0959966464053657e-05,0.25,13.267519466073415,1.938017104580304e-05,1.308209320198421
frozenset({'fashion_bags_accessories'}),frozenset({'fashion_childrens_clothes'}),0.01884300985118424,8.383986585621463e-05,2.0959966464053657e-05,0.0011123470522803114,13.267519466073415,1.938017104580304e-05,1.0010296525173668
